"Topic#","Topic","Class","Concept ID","Type","Simulatable","Diamond (high-impact aha)","Targets misconception","Description (what the sim teaches)","Requires (prerequisites)","Required-by (unlocks)","Notes","Built in repo?"
"1","Physical World","Class 11","physics_technology_society_nano","nano","Yes","","","Physics → technology → society loop: ISRO (orbital mechanics + EM), DAE nuclear power (nuclear forces), semiconductor/IT (quantum). The Indian national-science narrative. **Marketing-relevant framing**: physics is the engine behind India's strategic capabilities.","[scope_and_domains_of_physics_atomic]","—","parent; **research/policy + space anchor**",""
"2","Units Measurements","Class 11","si_units_and_unit_consistency_atomic","atomic","Yes","","units are droppable labels","The **7 SI base units** (metre, kilogram, second, ampere, kelvin, mole, candela) and how every **derived unit** (N = kg·m/s², J = N·m, ...) is built from them. **Unit consistency** is the zeroth-order check on any equation; the **factor-label method** uses units as an algebraic derivation tool.","[basic_algebra(Class 9)]","[dimensional_analysis_atomic, EVERY quantitative atomic (universal, implicit)]","U-G7; catalog-anchor atomic; **cognitive_error_target:** ""units are droppable labels""",""
"2","Units Measurements","Class 11","seven_base_units_nano","nano","Yes","","","The 7 base quantities + their SI units + symbols; every other physical quantity is derived. Why exactly 7 (independence — none derivable from the others).","[si_units_and_unit_consistency_atomic]","—","parent; U-G7 scaffold",""
"2","Units Measurements","Class 11","unit_conversion_factor_label_nano","nano","Yes","","","Convert via multiplying by 1 in disguise (e.g., 72 km/h × (1000 m/km) × (1 h/3600 s) = 20 m/s). Units cancel like algebra; the method PREVENTS conversion errors.","[si_units_and_unit_consistency_atomic]","—","parent; cognitive-error countermeasure (units-as-tool)",""
"2","Units Measurements","Class 11","si_redefinition_2019_nano","nano","Yes","","","2019 SI redefinition: kg now fixed via Planck constant h (no physical artefact); ampere via electron charge e; kelvin via Boltzmann k. **Modern Indian-relevant anchor**: CSIR-NPL realises the new kg with a Kibble balance. Constants, not objects, define units.","[si_units_and_unit_consistency_atomic, seven_base_units_nano]","—","parent; **metrology anchor**; modern",""
"2","Units Measurements","Class 11","dimensional_analysis_atomic","atomic","Yes","YES","gives complete formula incl. constants","The **dimensional formula** [MᵃLᵇTᶜ...] of a quantity; the **principle of homogeneity** (every additive term in a valid equation has identical dimensions). Three legitimate uses: (1) CHECK an equation; (2) CONVERT units between systems; (3) DERIVE a relation UP TO a dimensionless constant. The universal sanity-check applied implicitly across all of physics.","[si_units_and_unit_consistency_atomic]","[error_analysis_and_propagation_atomic, EVERY formula-bearing atomic (universal); absorbs math-tool `dimensional_analysis`+`unit_analysis` stubs]","U-G2/U-G8; **Diamond candidate** (dimensional-balance animation); **cognitive_error_target:** ""gives complete formula incl. constants""",""
"2","Units Measurements","Class 11","principle_of_homogeneity_nano","nano","Yes","","","Every additive term in a physically valid equation carries the SAME dimensions (you cannot add a length to a time). The instant equation-validity test: if the terms don't match dimensionally, the equation is WRONG (necessary, not sufficient).","[dimensional_analysis_atomic]","—","parent; U-G2 scaffold",""
"2","Units Measurements","Class 11","deriving_relations_dimensionally_nano","nano","Yes","","","Find the FORM of a relation by matching powers: T = k·mᵃ·lᵇ·gᶜ → solve a,b,c by dimensional balance → T = k√(l/g). **The k (= 2π here) is NOT obtainable** — must come from theory/experiment. The power-matching method.","[dimensional_analysis_atomic, principle_of_homogeneity_nano]","—","parent; the ""derive up to a constant"" use",""
"2","Units Measurements","Class 11","dimensional_limitations_nano","nano","Yes","","","Three hard failures: (a) cannot find dimensionless constants (½, 2π, sin's coefficient); (b) cannot handle multi-term-of-unknown-form equations; (c) arguments of sin/cos/log/exp MUST be dimensionless (ωt is fine; t alone inside sin is dimensionally illegal). **The single most-tested conceptual trap.**","[dimensional_analysis_atomic]","—","parent; U-G3; mandatory cognitive scaffold",""
"2","Units Measurements","Class 11","significant_figures_atomic","atomic","Yes","","decimal places = precision","The digits that carry real measurement information. Counting rules (non-zero always count; captive zeros count; leading zeros never; trailing zeros after a decimal count). The **asymmetric arithmetic rule**: +/− keeps the least DECIMAL PLACES; ×/÷ keeps the least SIG-FIG COUNT.","[si_units_and_unit_consistency_atomic]","[error_analysis_and_propagation_atomic]","U-G4; **cognitive_error_target:** ""decimal places = precision""",""
"2","Units Measurements","Class 11","sig_fig_counting_rules_nano","nano","Yes","","","Leading zeros (0.0025 → 2 sf) vs captive zeros (1002 → 4 sf) vs trailing zeros (2.50 → 3 sf; 2500 → ambiguous, use scientific notation 2.5×10³). Scientific notation removes ambiguity.","[significant_figures_atomic]","—","parent; U-G4 scaffold",""
"2","Units Measurements","Class 11","sig_figs_in_arithmetic_nano","nano","Yes","","","The asymmetric rule in action: 12.11 + 0.3 = 12.4 (1 decimal place); 4.32 × 1.1 = 4.8 (2 sf). The weakest measurement caps the result's precision.","[significant_figures_atomic, sig_fig_counting_rules_nano]","—","parent; the asymmetric +/− vs ×/÷ rule",""
"2","Units Measurements","Class 11","rounding_convention_nano","nano","Yes","","","Standard rounding (≥5 rounds up); only round the FINAL answer, never intermediate steps (intermediate rounding compounds error). Carry a guard digit.","[significant_figures_atomic]","—","parent",""
"2","Units Measurements","Class 11","error_analysis_and_propagation_atomic","atomic","Yes","","errors always just add","**Absolute error** Δx, **relative error** Δx/x, **percentage error** (Δx/x)×100. Propagation: errors ADD (absolute) for sums/differences; RELATIVE errors add for products/quotients; for Z = (A^p B^q)/C^r the relative error = p(ΔA/A) + q(ΔB/B) + r(ΔC/C). The exponent MULTIPLIES the relative error.","[dimensional_analysis_atomic, significant_figures_atomic]","[EVERY experimental-result atomic (universal, implicit)]","U-G5; **cognitive_error_target:** ""errors always just add""",""
"2","Units Measurements","Class 11","combination_of_errors_nano","nano","Yes","","","Derivation of the propagation rules from differentials: for Z = A·B, dZ/Z = dA/A + dB/B (relative errors add). The power rule from Z = Aⁿ: ΔZ/Z = n·(ΔA/A).","[error_analysis_and_propagation_atomic, derivative_as_rate_and_slope_atomic(T3)]","—","parent; bridges to T3 (differentials)",""
"2","Units Measurements","Class 11","percentage_error_worked_nano","nano","Yes","","","Worked: density ρ = m/V; m = 5.00 ± 0.01 g (0.2%), V = 4.0 ± 0.1 cm³ (2.5%) → Δρ/ρ = 0.2% + 2.5% = 2.7%. **The volume measurement dominates** — improving the balance is wasted effort. Error budgeting.","[error_analysis_and_propagation_atomic, combination_of_errors_nano]","—","parent; **healthcare/lab anchor** (dosage budgeting)",""
"2","Units Measurements","Class 11","least_count_sets_minimum_error_nano","nano","Yes","","","The instrument's least count is the floor on absolute error for a single reading. A vernier reading to 0.01 cm cannot claim 0.001 cm precision. Connects instrument choice → achievable error.","[error_analysis_and_propagation_atomic, measurement_instruments_least_count_atomic]","—","parent; links instrument → error",""
"2","Units Measurements","Class 11","measurement_instruments_least_count_atomic","atomic","Yes","","accuracy = precision","**Least count** = smallest measurable division. **Vernier caliper** LC = 1 MSD − 1 VSD (typically 0.01 cm). **Screw gauge** LC = pitch / number-of-circular-divisions (typically 0.001 cm). **Zero error** (systematic; subtract it). **Accuracy** (closeness to true value) vs **precision** (repeatability/spread) — independent qualities.","[si_units_and_unit_consistency_atomic, significant_figures_atomic]","[error_analysis_and_propagation_atomic]","U-G6; **cognitive_error_target:** ""accuracy = precision""",""
"2","Units Measurements","Class 11","vernier_screw_gauge_reading_nano","nano","Yes","","","Vernier: main-scale reading + (coinciding vernier division × LC). Screw gauge: main-scale + (circular-scale × LC), watch for backlash. The two workhorse Indian-physics-lab instruments.","[measurement_instruments_least_count_atomic]","—","parent; **education/lab anchor**",""
"2","Units Measurements","Class 11","accuracy_vs_precision_nano","nano","Yes","","","Bullseye picture: tight cluster off-centre = precise-but-inaccurate (systematic error / zero error); scattered around centre = accurate-but-imprecise (random error). The two are independent; good measurement needs both.","[measurement_instruments_least_count_atomic]","—","parent; U-G6 cognitive scaffold",""
"2","Units Measurements","Class 11","zero_error_correction_nano","nano","Yes","","","A screw gauge reading 0.002 cm with jaws closed has +0.002 cm zero error → SUBTRACT from every reading. Systematic (not random) — repeating the measurement does NOT average it out.","[measurement_instruments_least_count_atomic, accuracy_vs_precision_nano]","—","parent; systematic-vs-random scaffold",""
"3","Mathematical Tools","Class 11","derivative_as_rate_and_slope_atomic","atomic","Yes","","derivative is just a formula to memorise","The derivative dy/dx = **slope of the tangent** to the y(x) curve; d/dt = **instantaneous rate of change**. Physics meaning: v = dx/dt, a = dv/dt, I = dq/dt, P = dW/dt, F = dp/dt. The standard-derivatives table (xⁿ, sin, cos, eˣ) is downstream of this geometric/rate meaning.","[functions_and_graphs_in_physics_atomic]","[avg_vs_instantaneous_velocity_atomic(T6), acceleration_definition_atomic(T6), EVERY rate-defined quantity (universal); absorbs math-tool `calculus_derivative_basics`]","MT-G3; teaching-unit; **cognitive_error_target:** ""derivative is just a formula to memorise""",""
"3","Mathematical Tools","Class 11","slope_of_tangent_nano","nano","Yes","","","Geometric meaning: the derivative at a point = the slope of the line just touching the curve there. Secant → tangent as Δx → 0. The limit definition made visual.","[derivative_as_rate_and_slope_atomic]","—","parent; MT-G3 geometric scaffold",""
"3","Mathematical Tools","Class 11","standard_derivatives_table_nano","nano","Yes","","","d(xⁿ)/dx = nxⁿ⁻¹; d(sin x)/dx = cos x; d(cos x)/dx = −sin x; d(eˣ)/dx = eˣ; chain + product rule. The operational toolkit — but taught AFTER the slope/rate meaning.","[derivative_as_rate_and_slope_atomic, slope_of_tangent_nano]","—","parent; operational toolkit",""
"3","Mathematical Tools","Class 11","derivative_in_physics_nano","nano","Yes","","","The recurring physics derivatives: v = dx/dt (speedometer reads this), a = dv/dt, I = dq/dt, P = dW/dt, F = dp/dt. Each is a RATE the student already intuits before the calculus.","[derivative_as_rate_and_slope_atomic]","—","parent; **everyday-instrument anchor** (speedometer)",""
"3","Mathematical Tools","Class 11","integral_as_area_and_accumulation_atomic","atomic","Yes","","integration & differentiation unrelated","The definite integral ∫ₐᵇ f(x) dx = **area under the f(x) curve** = **accumulated total**. Physics meaning: displacement = ∫v dt (area under v-t), work = ∫F dx (area under F-x), charge = ∫I dt, impulse = ∫F dt. The **Fundamental Theorem** links it to the derivative as the inverse operation.","[derivative_as_rate_and_slope_atomic, functions_and_graphs_in_physics_atomic]","[s_in_equations(T6), work-energy atomics(T13), EVERY accumulated quantity (universal); absorbs math-tool `calculus_integration_basics`]","MT-G4; teaching-unit; **cognitive_error_target:** ""integration & differentiation unrelated""",""
"3","Mathematical Tools","Class 11","area_under_curve_nano","nano","Yes","","","The integral as the limit of summed rectangles (Riemann sum) → exact area. For a v-t graph the area IS the displacement; for an F-x graph the area IS the work. Area carries physical meaning.","[integral_as_area_and_accumulation_atomic]","—","parent; MT-G4 geometric scaffold",""
"3","Mathematical Tools","Class 11","fundamental_theorem_link_nano","nano","Yes","","","Integration UNDOES differentiation: if v = dx/dt then x = ∫v dt + x₀. The derivative gives the rate; the integral accumulates it back. **The two operations are inverses** — the deepest conceptual point of T3.","[integral_as_area_and_accumulation_atomic, derivative_as_rate_and_slope_atomic]","—","parent; MT-G4 cognitive scaffold",""
"3","Mathematical Tools","Class 11","integral_in_physics_nano","nano","Yes","","","The recurring physics integrals: displacement = ∫v dt (odometer accumulates this), work = ∫F·dx, charge = ∫I dt, impulse = ∫F dt, ISRO trajectory = numerically-integrated acceleration.","[integral_as_area_and_accumulation_atomic]","—","parent; **everyday-instrument (odometer) + space anchor**",""
"3","Mathematical Tools","Class 11","functions_and_graphs_in_physics_atomic","atomic","Yes","","graph is just a picture","The 5 canonical physics function-shapes and how to READ them: **linear** (y = mx + c — slope m + intercept c), **quadratic** (parabola — e.g. projectile y vs x), **inverse** (1/x — e.g. Coulomb, Boyle), **sinusoidal** (A sin(ωt + φ) — SHM, waves, AC), **exponential** (e^(±t/τ) — decay/growth). Extract physics from slope, intercept, area, and curvature.","[si_units_and_unit_consistency_atomic(T2)]","[derivative_as_rate_and_slope_atomic, integral_as_area_and_accumulation_atomic, xt_graph+vt_graph+at_graph(T6)]","MT-G5; **cognitive_error_target:** ""graph is just a picture""",""
"3","Mathematical Tools","Class 11","slope_and_intercept_reading_nano","nano","Yes","","","From a straight-line graph: slope = Δy/Δx (with composite units, e.g. v-t slope is m/s² = acceleration); intercept = value at x = 0 (physical initial condition). Reading physics OFF the line.","[functions_and_graphs_in_physics_atomic]","—","parent; MT-G5 scaffold",""
"3","Mathematical Tools","Class 11","common_physics_function_shapes_nano","nano","Yes","","","The 5 shapes mapped to physics: linear (uniform motion), parabola (projectile/accelerated), 1/x (inverse-square fields, Boyle), sine (oscillation/wave), exponential (RC/radioactivity). Recognising the shape names the physics.","[functions_and_graphs_in_physics_atomic]","—","parent; the 5-shape catalogue",""
"3","Mathematical Tools","Class 11","linearising_graphs_nano","nano","Yes","","","Convert a curved relation to a straight line to extract constants: plot T² vs l (not T vs l) for a pendulum → slope gives g; log-log plots for power laws. **The core Indian-physics-lab data-analysis skill.**","[functions_and_graphs_in_physics_atomic, slope_and_intercept_reading_nano]","—","parent; **education/lab anchor**",""
"3","Mathematical Tools","Class 11","approximations_in_physics_atomic","atomic","Yes","","approximations are sloppy / less correct","**Controlled** approximations that extract leading behaviour: **small-angle** (sin θ ≈ tan θ ≈ θ, cos θ ≈ 1 for θ ≪ 1 rad) and **binomial** ((1 + x)ⁿ ≈ 1 + nx for x ≪ 1). The WHY (keep the dominant term, drop negligible ones) and the validity boundary (~0.1 rad ≈ 6° for ~1% error). Physics is BUILT on these (SHM, paraxial optics, g at small height).","[functions_and_graphs_in_physics_atomic]","[shm_atomics(T17), paraxial_optics(T41/T42), g_at_height(T16); absorbs math-tool `trig_small_angle_approximations`+`series_binomial_expansion`]","MT-G6; teaching-unit; **cognitive_error_target:** ""approximations are sloppy / less correct""",""
"3","Mathematical Tools","Class 11","small_angle_approximation_nano","nano","Yes","","","For θ ≪ 1 rad: sin θ ≈ θ, tan θ ≈ θ, cos θ ≈ 1 − θ²/2 ≈ 1. Validity ~0.1 rad (≈ 6°) for ~1% accuracy. The reason the pendulum is SHM ONLY for small swings. **Must use radians.**","[approximations_in_physics_atomic]","—","parent; MT-G6 scaffold; links to T2 radian-dimensionlessness",""
"3","Mathematical Tools","Class 11","binomial_first_order_nano","nano","Yes","","","(1 + x)ⁿ ≈ 1 + nx for x ≪ 1 (any real n). Used for g(h) = g(1 + h/R)⁻² ≈ g(1 − 2h/R) at small height; relativistic + index-of-refraction expansions. Keep the leading correction, drop x².","[approximations_in_physics_atomic]","—","parent; the controlled-expansion workhorse",""
"4","Lab Experiments","Class 11","graph_based_constant_determination_atomic","atomic","Yes","","the graph is just for plotting marks","THE core experimental skill: take a physical relation, **linearise** it (choose axes so the plot is a straight line), plot the data, draw the **best-fit line**, and extract a physical constant from the **slope** (or intercept). The graph IS the measurement instrument — it averages out random scatter and exposes systematic trends.","[functions_and_graphs_in_physics_atomic(T3), derivative_as_rate_and_slope_atomic(T3), error_analysis_and_propagation_atomic(T2)]","— (terminal sink)","T4-G3; catalog-anchor atomic; **cognitive_error_target:** ""the graph is just for plotting marks"" → the slope IS the answer",""
"4","Lab Experiments","Class 11","pendulum_g_nano","nano","Yes","","","Simple pendulum: time N oscillations (reduces reaction-time error), compute T, plot **T² vs l** (a straight line through origin), slope = 4π²/g → solve for g. Amplitude must stay small (SHM validity, links to T17 + T3 small-angle). The canonical ""find a constant from a slope"" experiment.","[graph_based_constant_determination_atomic, free_fall_gravity_atomic(T6), approximations_in_physics_atomic(T3)]","—","parent; T4-G4; **education/lab anchor**",""
"4","Lab Experiments","Class 11","youngs_modulus_searle_nano","nano","Yes","","","Searle's apparatus: hang increasing loads on a wire, measure extension with a vernier/micrometer, plot **extension vs load** (straight line), slope + wire geometry → Young's modulus Y. Links to T18 elasticity (stress/strain).","[graph_based_constant_determination_atomic, elasticity_youngs_modulus(T18)]","—","parent; T4-G4; **education/lab anchor**",""
"4","Lab Experiments","Class 11","spring_constant_nano","nano","Yes","","","Loaded spring: plot **extension vs load** → slope = 1/k (Hooke's law); OR oscillation **T² vs mass** → slope = 4π²/k. Two routes to k; cross-check. Links to T17 SHM.","[graph_based_constant_determination_atomic, simple_harmonic_motion(T17)]","—","parent; T4-G4",""
"4","Lab Experiments","Class 11","measurement_instruments_practical_atomic","atomic","Yes","","knowing the LC formula = being able to read it","The PROCEDURAL skill of reading precision instruments: **vernier caliper** (main-scale reading + coinciding-vernier-division × least count), **screw gauge** (main-scale + circular-scale × least count, watch for backlash), **spherometer** (for radius of curvature). Distinct from the least-count CONCEPT (T2) — this is the hands-on reading technique.","[measurement_instruments_least_count_atomic(T2), significant_figures_atomic(T2)]","— (terminal sink)","T4-G2; **cognitive_error_target:** ""knowing the LC formula = being able to read it""",""
"4","Lab Experiments","Class 11","vernier_reading_technique_nano","nano","Yes","","","Read the main scale just before the zero of the vernier; find the vernier division that COINCIDES with a main-scale line; reading = MSR + (coinciding division × LC). Parallax-free viewing (eye perpendicular).","[measurement_instruments_practical_atomic]","—","parent; T4-G4; **everyday-instrument anchor**",""
"4","Lab Experiments","Class 11","screw_gauge_reading_technique_nano","nano","Yes","","","Rotate the ratchet (not the thimble) to avoid over-tightening; read main-scale + (circular-scale × LC); account for backlash error (always rotate one way). Watch for zero error (correct per T2).","[measurement_instruments_practical_atomic, zero_error_correction_nano(T2)]","—","parent; T4-G4; **everyday-instrument anchor**",""
"4","Lab Experiments","Class 11","error_sources_per_experiment_nano","nano","Yes","","more readings = more accuracy","Every experiment has characteristic error sources: pendulum (large amplitude breaks SHM; reaction-time → time many oscillations); Searle's (temperature drift, wire kinks); metre-bridge (end-corrections, jockey pressure). **Repetition cuts RANDOM error but NOT systematic error** — systematic sources must be identified + corrected separately.","[measurement_instruments_practical_atomic, error_analysis_and_propagation_atomic(T2)]","—","parent; T4-G5; **cognitive_error_target:** ""more readings = more accuracy""",""
"4","Lab Experiments","Class 11","circuit_and_optics_bench_experiments_atomic","atomic","Yes","","","The bench-experiment skill set: **electrical** (metre bridge + potentiometer for resistance/EMF comparison; Ohm's-law verification) and **optical** (focal length of lens/mirror by u-v method; refractive index by real/apparent-depth or by travelling microscope). Each combines an instrument-reading skill with a graph/calculation.","[graph_based_constant_determination_atomic, ohms_law(T33/T34), refraction_lenses(T42)]","— (terminal sink)","T4-G4; bench-experiment skill class",""
"4","Lab Experiments","Class 11","metre_bridge_resistance_nano","nano","Yes","","","Wheatstone-bridge principle on a 1 m wire: balance point gives unknown resistance R = R_known × (l/(100−l)). End-corrections are the key systematic error (interchange known/unknown to cancel). Links to T34 Kirchhoff/Wheatstone.","[circuit_and_optics_bench_experiments_atomic, kirchhoff_wheatstone(T34)]","—","parent; T4-G4",""
"4","Lab Experiments","Class 11","potentiometer_emf_nano","nano","Yes","","","Potentiometer compares EMFs (or measures internal resistance) by null-deflection — no current drawn at balance, so it reads TRUE EMF (unlike a voltmeter). Balance length ∝ EMF. Links to T34.","[circuit_and_optics_bench_experiments_atomic, kirchhoff_wheatstone(T34)]","—","parent; T4-G4",""
"4","Lab Experiments","Class 11","lens_focal_length_uv_nano","nano","Yes","","","Lens u-v method: measure several (u, v) pairs, plot **1/v vs 1/u** (straight line) → intercepts give 1/f; OR plot v vs u and use the lens formula. Combines bench-reading + graph-method. Links to T42.","[circuit_and_optics_bench_experiments_atomic, refraction_lenses(T42), graph_based_constant_determination_atomic]","—","parent; T4-G4",""
"4","Lab Experiments","Class 11","refractive_index_real_apparent_depth_nano","nano","Yes","","","Travelling microscope: focus on a mark, then on it through a glass slab; real depth / apparent depth = refractive index n. A direct single-measurement n. Links to T42 refraction.","[circuit_and_optics_bench_experiments_atomic, refraction_lenses(T42)]","—","parent; T4-G4",""
"5","Vectors","Class 11","unit_vector","atomic","Yes","","","A vector of magnitude 1 that carries direction only; any vector = (magnitude) × (unit vector). Notation â = A/\|A\|. The basis of all component work.","—","[vector_head_to_tail, equal_vs_parallel, vector_resolution, unit_vector_form]","DAG root; alias target of legacy `vector_basics`","Yes"
"5","Vectors","Class 11","scalar_multiplication","atomic","Yes","","","Multiplying a vector by scalar k scales its magnitude by \|k\| and keeps direction if k>0, reverses it if k<0.","—","[negative_vector, parallelogram_law_test]","foundation operation","Yes"
"5","Vectors","Class 11","negative_vector","atomic","Yes","","","−A is A with the same magnitude but opposite direction (the k=−1 case of scalar multiplication). A + (−A) = 0.","[scalar_multiplication]","[angle_between_vectors]","sign-of-a-vector scaffold","Yes"
"5","Vectors","Class 11","vector_head_to_tail","atomic","Yes","","","Geometric (triangle) addition: place the tail of B at the head of A; the arrow from A's tail to B's head is the resultant. Generalises to the polygon law.","[unit_vector]","[resultant_formula, parallelogram_law_test]","foundational addition; alias-related to `vector_addition`","Yes"
"5","Vectors","Class 11","equal_vs_parallel","atomic","Yes","","vectors at different points can't be equal","Equal vectors: same magnitude AND direction (position irrelevant). Parallel: same direction, any magnitude. Distinguishes ""equal"" from ""parallel/collinear.""","[unit_vector]","—","**cognitive_error_target:** ""vectors at different points can't be equal""","Yes"
"5","Vectors","Class 11","angle_between_vectors","atomic","Yes","","measure the angle without moving both to one tail","Protocol: bring both vectors to a common tail, arrows pointing outward; the angle between them is ≤ 180°. Critical for dot/cross products and resultant direction.","[negative_vector]","[resultant_formula, dot_product, vector_resolution]","**cognitive_error_target:** ""measure the angle without moving both to one tail""","Yes"
"5","Vectors","Class 11","parallelogram_law_test","atomic","Yes","","","The definitive test for whether a quantity is a vector: it must add by the parallelogram (equivalently triangle) law AND obey scalar multiplication. Direction alone is not enough.","[vector_head_to_tail, scalar_multiplication]","[current_not_vector, pressure_scalar, area_vector]","V-G3; the ""is it a vector?"" gate","Yes"
"5","Vectors","Class 11","current_not_vector","atomic","Yes","","anything with direction is a vector","Electric current has a direction (along the wire) yet is a SCALAR — at a junction currents add algebraically (Kirchhoff), not by the parallelogram law. The counterexample that defines ""vector.""","[parallelogram_law_test]","[drift_velocity(T34)]","V-G2; alias target of legacy `scalar_vs_vector`; **cognitive_error_target:** ""anything with direction is a vector""","Yes"
"5","Vectors","Class 11","pressure_scalar","atomic","Yes","","pressure has a direction so it's a vector","Pressure pushes in all directions at a point yet is a SCALAR; the vector is the FORCE on a chosen surface, F = P·(A n̂). Distinguishes the scalar field from the vector it generates.","[current_not_vector]","[fluid_pressure_atomic(T20)]","V-G2; **cognitive_error_target:** ""pressure has a direction so it's a vector""","Yes"
"5","Vectors","Class 11","area_vector","atomic","Yes","","","Area is a scalar (size of a surface) but can be promoted to a vector A = A n̂ (magnitude × outward normal) — the form used for flux. Two faces of one quantity.","[parallelogram_law_test]","[electric_flux(T30), magnetic_flux_definition(T35)]","bridge to flux chapters","Yes"
"5","Vectors","Class 11","resultant_formula","atomic","Yes","","","Magnitude of A + B from the law of cosines: \|R\| = √(A² + B² + 2AB cos θ). Why scalar addition fails when θ ≠ 0.","[vector_head_to_tail, angle_between_vectors]","[special_cases, range_inequality, direction_of_resultant]","V-G4; alias-related to `vector_addition`","Yes"
"5","Vectors","Class 11","special_cases","nano","Yes","","","The three shortcuts: θ=0° → R = A+B; θ=90° → R = √(A²+B²); θ=180° → R = \|A−B\|.","[resultant_formula]","—","parent: resultant_formula; built as a fuller sim (V-G7)","Yes"
